time,temperature,Altitude (m),longitude,latitude
13/09/2023 12:44:14,14.892 °C,596.324133872986,7.2522371565201,61.6410403756636
13/09/2023 12:44:16,14.887 °C,597.235515594482,7.25223893812017,61.641052778461
13/09/2023 12:44:18,14.882 °C,598.230406522751,7.25224021211966,61.641065739972
13/09/2023 12:44:20,14.877 °C,599.327364683151,7.25224086571984,61.6410793843752
13/09/2023 12:44:22,14.872 °C,600.424322605133,7.2522415193198,61.6410930287748
13/09/2023 12:44:24,14.866 °C,601.50467467308,7.25224140645997,61.641106567542
13/09/2023 12:44:26,14.862 °C,602.58415222168,7.25224125326002,61.6411201007431
13/09/2023 12:44:28,14.858 °C,603.518359661102,7.25224113012001,61.6411332771786
13/09/2023 12:44:30,14.852 °C,604.275014877319,7.25224104372001,61.6411460175768
13/09/2023 12:44:32,14.848 °C,605.031670093536,7.25224095732003,61.6411587579787
13/09/2023 12:44:34,14.842 °C,605.548366785049,7.25223633372116,61.6411703921949
13/09/2023 12:44:36,14.836 °C,606.052434206009,7.25223147132056,61.6411819681962
13/09/2023 12:44:38,14.832 °C,606.437168180943,7.25222602932081,61.6411927140398
13/09/2023 12:44:40,14.826 °C,606.676050007343,7.25221987891928,61.6412024452402
13/09/2023 12:44:42,14.820 °C,606.914931952953,7.25221372851775,61.6412121764442
13/09/2023 12:44:44,14.813 °C,607.138496875763,7.25221037149913,61.6412204324806
13/09/2023 12:44:46,14.807 °C,607.361255645752,7.25220716149943,61.6412286108789
13/09/2023 12:44:48,14.800 °C,607.464080750942,7.25220781661119,61.6412361189832
13/09/2023 12:44:50,14.793 °C,607.420320272446,7.25221319575576,61.641242807842
13/09/2023 12:44:52,14.786 °C,607.376559823751,7.25221857489851,61.641249496699
13/09/2023 12:44:54,14.780 °C,607.332799360156,7.25222395404126,61.6412561855559
13/09/2023 12:44:56,14.773 °C,607.44200438261,7.25223336769705,61.6412684523748
13/09/2023 12:44:58,14.767 °C,607.55926027894,7.25224299369802,61.6412810127767
13/09/2023 12:45:00,14.761 °C,607.828935980797,7.2522556877957,61.6412945849552
13/09/2023 12:45:02,14.754 °C,608.28490281105,7.25227213179824,61.641309393759
13/09/2023 12:45:04,14.747 °C,608.740869641304,7.25228857580078,61.6413242025592
13/09/2023 12:45:06,14.742 °C,609.160668611527,7.25231502786482,61.6413363099382
13/09/2023 12:45:08,14.735 °C,609.578564047813,7.25234200665727,61.6413482751377
13/09/2023 12:45:10,14.729 °C,609.853874713182,7.25237540533999,61.6413584210804
13/09/2023 12:45:12,14.724 °C,609.954914748669,7.25241665053181,61.6413663434796
13/09/2023 12:45:14,14.718 °C,610.055954813957,7.25245789573819,61.6413742658806
13/09/2023 12:45:16,14.711 °C,610.314858138561,7.25250024787965,61.6413808225607
13/09/2023 12:45:18,14.706 °C,610.582070052624,7.25254265827243,61.6413873073598
13/09/2023 12:45:20,14.699 °C,611.120446443558,7.25257941613381,61.641394740218
13/09/2023 12:45:22,14.693 °C,611.990246295929,7.25260926534247,61.6414033318179
13/09/2023 12:45:24,14.689 °C,612.8600461483,7.25263911454385,61.6414119234178
13/09/2023 12:45:26,14.682 °C,613.487285137177,7.25265833551384,61.641421508717
13/09/2023 12:45:28,14.676 °C,614.101757526398,7.25267699711549,61.6414311463159
13/09/2023 12:45:30,14.670 °C,614.525687932968,7.25269076038057,61.6414410101825
13/09/2023 12:45:32,14.664 °C,614.716732859612,7.25269853677855,61.6414511505791
13/09/2023 12:45:34,14.657 °C,614.90777772665,7.25270631317835,61.6414612909757
13/09/2023 12:45:36,14.651 °C,615.028375208378,7.25271117079865,61.641470882274
13/09/2023 12:45:38,14.646 °C,615.14526489377,7.25271587479983,61.6414804446795
13/09/2023 12:45:40,14.640 °C,615.345387458801,7.25272115840198,61.6414894312002
13/09/2023 12:45:42,14.634 °C,615.647238731384,7.25272715040046,61.6414977138666
13/09/2023 12:45:44,14.628 °C,615.949090123177,7.25273314240076,61.6415059965311
13/09/2023 12:45:46,14.622 °C,616.269398212433,7.25273950735937,61.6415149609238
13/09/2023 12:45:48,14.615 °C,616.61226439476,7.25274632815854,61.641524758521
13/09/2023 12:45:50,14.609 °C,616.955130577087,7.25275314895771,61.6415345561181
13/09/2023 12:45:52,14.604 °C,617.335286974907,7.25274507566428,61.6415375914285
13/09/2023 12:45:54,14.598 °C,617.717406153679,7.25273621846281,61.641540270829
13/09/2023 12:45:56,14.592 °C,618.099525332451,7.25272736126135,61.6415429502285
13/09/2023 12:45:58,14.588 °C,618.481644392014,7.25271850406352,61.641545629629
13/09/2023 12:46:00,14.582 °C,618.863763689995,7.25270964685842,61.6415483090295
13/09/2023 12:46:02,14.578 °C,619.350916266441,7.25268429233984,61.6415500716798
13/09/2023 12:46:04,14.572 °C,619.843596935272,7.25265806954121,61.6415517860796
13/09/2023 12:46:06,14.566 °C,620.229112446308,7.25263251113211,61.6415516617817
13/09/2023 12:46:08,14.560 °C,620.483648657799,7.25260776472715,61.6415492901806
13/09/2023 12:46:10,14.556 °C,620.73818475008,7.25258301832946,61.6415469185813
13/09/2023 12:46:12,14.550 °C,621.193436264992,7.25255644677964,61.6415435164199
13/09/2023 12:46:14,14.544 °C,621.659251689911,7.2525297791799,61.6415400600208
13/09/2023 12:46:16,14.540 °C,622.042436599731,7.25250367030094,61.6415385364601
