Meﬂstellenbeschreibung:
Logger Seriennummer   :080032322731
Logging Methode: Augenblickswerte
Messintervall: 05 min Speicherintervall: 00:05:00 Messungen: 1
Datum	Zeit	  1.Temperatur    [∞C]	  2.rel.Feuchte    [%]	
13.09.23	09:05:00	   5,15995	   86,2592	
13.09.23	09:10:00	   4,65934	     84,04	
13.09.23	09:15:00	   4,90842	   83,6096	
13.09.23	09:20:00	   4,42979	   86,3797	
13.09.23	09:25:00	   4,52991	   82,8098	
13.09.23	09:30:00	    4,6398	     83,75	
13.09.23	09:35:00	   4,91819	   78,6096	
13.09.23	09:40:00	   5,67766	   75,5495	
13.09.23	09:45:00	   6,43956	   74,6398	
13.09.23	09:50:00	   7,01832	   67,8694	
13.09.23	09:55:00	   7,12821	   62,8388	
13.09.23	10:00:00	   6,62759	   66,0791	
13.09.23	10:05:00	   7,54823	   67,6496	
13.09.23	10:10:00	   7,29915	   62,3993	
13.09.23	10:15:00	   7,32845	   61,3294	
13.09.23	10:20:00	   7,53846	   62,9899	
13.09.23	10:25:00	   7,74847	   66,9185	
13.09.23	10:30:00	   8,91819	   62,5794	
13.09.23	10:35:00	   7,56777	   60,4792	
13.09.23	10:40:00	   8,22955	   59,8397	
13.09.23	10:45:00	    8,5177	   57,3199	
13.09.23	10:50:00	   8,36874	     54,04	
13.09.23	10:55:00	   9,03785	   51,7186	
13.09.23	11:00:00	    7,4188	   56,0989	
13.09.23	11:05:00	   8,72772	    51,279	
13.09.23	11:10:00	    8,5177	   52,2985	
13.09.23	11:15:00	   8,65934	   51,1187	
13.09.23	11:20:00	   8,82784	   49,9695	
13.09.23	11:25:00	   8,36874	   51,5598	
13.09.23	11:30:00	   8,17827	   51,9597	
13.09.23	11:35:00	   8,73993	   50,5495	
13.09.23	11:40:00	   9,18926	   48,0388	
13.09.23	11:45:00	   8,30769	   52,5595	
13.09.23	11:50:00	   9,37973	   48,3196	
13.09.23	11:55:00	   9,76801	   47,9289	
13.09.23	12:00:00	   9,12821	   49,4689	
13.09.23	12:05:00	   9,44811	   47,3596	
13.09.23	12:10:00	    9,0696	   48,9286	
13.09.23	12:15:00	   9,65812	   47,1688	
13.09.23	12:20:00	   9,31868	   47,9792	
13.09.23	12:25:00	   9,58974	   47,2299	
13.09.23	12:30:00	    9,8779	   46,4988	
13.09.23	12:35:00	     9,558	   48,3486	
13.09.23	12:40:00	   9,83883	   47,2985	
13.09.23	12:45:00	   9,66789	   47,5992	
13.09.23	12:50:00	   9,73871	   46,9795	
13.09.23	12:55:00	   9,90965	   46,8086	
13.09.23	13:00:00	   10,0195	   46,9994	
13.09.23	13:05:00	   9,28938	   49,5589	
13.09.23	13:10:00	   9,71917	   48,7393	
13.09.23	13:15:00	   9,77778	   47,8892	
13.09.23	13:20:00	   9,58974	   48,4799	
13.09.23	13:25:00	   9,79976	   47,6694	
13.09.23	13:30:00	   10,0879	   47,0894	
13.09.23	13:35:00	   9,93895	    46,369	
13.09.23	13:40:00	   9,56777	   47,8785	
13.09.23	13:45:00	   9,82906	   47,6099	
13.09.23	13:50:00	   8,83761	   50,8486	
13.09.23	13:55:00	   9,66789	   47,7991	
13.09.23	14:00:00	   10,1294	   46,6697	
13.09.23	14:05:00	   9,65812	    46,859	
13.09.23	14:10:00	   9,69963	   46,8788	
13.09.23	14:15:00	   9,31868	   48,8095	
13.09.23	14:20:00	    8,8083	   48,8095	
13.09.23	14:25:00	   8,24908	   50,5891	
13.09.23	14:30:00	   8,23932	   51,3492	
13.09.23	14:35:00	   8,50794	   50,5586	
13.09.23	14:40:00	   8,50794	   50,0595	
13.09.23	14:45:00	   8,87912	    48,399	
